RSTKF__GLACCT_ACCT__C,RSTKF__GLACCT_APACCTTYPE__C,RSTKF__GLACCT_ARACCTTYPE__C,RSTKF__GLACCT_CMPNO__C,RSTKF__GLACCT_CONTROLACCTTYPE__C,RSTKF__GLACCT_DESC__C,RSTKF__GLACCT_DISPAPDTL__C,RSTKF__GLACCT_DISPARDTL__C,RSTKF__GLACCT_DISPMFGDTL__C,RSTKF__GLACCT_INACTIVEIND__C,RSTKF__GLACCT_NORMALBAL__C,RSTKF__GLACCT_TYPE__C
9611,,Cash Discounts Allowed,,Accounts Receivable Account,Cash Discount Allowed,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9615,,Cash Receipts Multicurrency Rounding,,Accounts Receivable Account,Cash Receipt Curr Rounding Cash,FALSE,TRUE,FALSE,FALSE,Debit,Expense
9620,,Write-off/Write-up,,Not a Control Account,Finance Charge income/expense,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9621,,Finance Charge Interest Earned,,Accounts Receivable Account,Finance Charges,FALSE,TRUE,FALSE,FALSE,Debit,Expense
9626,,Bank Payment Variance,,Accounts Receivable Account,Currency Payment Var,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9630,,,,Not a Control Account,Interest Income,FALSE,FALSE,FALSE,FALSE,Credit,Expense
9640,,,,Not a Control Account,Interest Expense,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9650,,,,Not a Control Account,Bank Charges,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9660,,,,Not a Control Account,Credit Card Fees,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9690,,,,Not a Control Account,Miscellaneous Income/Expense,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9800,,,,Not a Control Account,Business License,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9810,,,,Not a Control Account,Franchise Taxes,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9870,,,,Not a Control Account,Other Misc Taxes,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9890,,,,Not a Control Account,G&A Allocated to Projects,FALSE,FALSE,FALSE,FALSE,Credit,Expense
9900,,,,Not a Control Account,Prior Period's Results,FALSE,FALSE,FALSE,FALSE,Debit,Expense
9990,,,,Not a Control Account,Income Tax,FALSE,FALSE,FALSE,FALSE,Debit,Expense
10001,,Accounts Receivable,,Accounts Receivable Account,Accounts Receivable,FALSE,FALSE,FALSE,FALSE,Debit,Asset
11001,,,,On-Hand Inventory,Raw - Inventory,FALSE,FALSE,FALSE,FALSE,Debit,Asset
11002,,,,WIP inventory,Wip - Inventory,FALSE,FALSE,FALSE,FALSE,Debit,Asset
11003,,,,On-Hand Inventory,Finished Goods Inv,FALSE,FALSE,FALSE,FALSE,Debit,Asset
13001,,,,Not a Control Account,Bank GBP,FALSE,FALSE,FALSE,FALSE,Debit,Asset
13002,,,,Not a Control Account,Cash,FALSE,FALSE,FALSE,FALSE,Debit,Asset
20001,,,,Accounts Payable Account,Accounts Payable,FALSE,FALSE,FALSE,FALSE,Credit,Liability
21001,Tax,Tax,,Not a Control Account,VAT - Payable,FALSE,FALSE,FALSE,FALSE,Credit,Liability
21002,,,,Not a Control Account,VAT - Receivable,FALSE,FALSE,FALSE,FALSE,Debit,Liability
21003,Tax,Tax,,Not a Control Account,VAt - Settlement,FALSE,FALSE,FALSE,FALSE,Credit,Liability
30001,,,,Not a Control Account,Share capital,FALSE,FALSE,FALSE,FALSE,Credit,Capital
